Revenue,Survey question,Response option,Percent,Question sample size
"$500,001-$1 million",Source of 10% or more of total sales in 2023,"Federal government, including military",8%,1105
"$500,001-$1 million",Source of 10% or more of total sales in 2023,Business did not have any sales in 2023,2%,1105
$1 million-$5 million,Source of 10% or more of total sales in 2023,Individuals,58%,1574
$1 million-$5 million,Source of 10% or more of total sales in 2023,"Other businesses and/or organizations, including distributors of your product(s)",57%,1574
$1 million-$5 million,Source of 10% or more of total sales in 2023,"State and local government, including school districts, transportation authorities, etc.",19%,1574
$1 million-$5 million,Source of 10% or more of total sales in 2023,"Federal government, including military",8%,1574
$1 million-$5 million,Source of 10% or more of total sales in 2023,Business did not have any sales in 2023,1%,1574
"$25,001-$50,000",Total amount of financing sought in prior 12 months,"$25,000 or less",42%,166
"$25,001-$50,000",Total amount of financing sought in prior 12 months,"$25,001-$50,000",12%,166
"$25,001-$50,000",Total amount of financing sought in prior 12 months,"$50,001-$100,000",26%,166
"$25,001-$50,000",Total amount of financing sought in prior 12 months,"$100,001-$250,000",12%,166
"$25,001-$50,000",Total amount of financing sought in prior 12 months,"$250,001-$1M",9%,166
"$25,001-$50,000",Total amount of financing sought in prior 12 months,More than $1M,0%,166
"$0-$25,000",Total amount of financing sought in prior 12 months,"$25,000 or less",37%,212
"$0-$25,000",Total amount of financing sought in prior 12 months,"$25,001-$50,000",13%,212
"$0-$25,000",Total amount of financing sought in prior 12 months,"$50,001-$100,000",14%,212
"$0-$25,000",Total amount of financing sought in prior 12 months,"$100,001-$250,000",24%,212
"$0-$25,000",Total amount of financing sought in prior 12 months,"$250,001-$1M",11%,212
"$0-$25,000",Total amount of financing sought in prior 12 months,More than $1M,1%,212
$5 million-$10 million,Total amount of financing sought in prior 12 months,"$25,000 or less",5%,232
$5 million-$10 million,Total amount of financing sought in prior 12 months,"$25,001-$50,000",5%,232
$5 million-$10 million,Total amount of financing sought in prior 12 months,"$50,001-$100,000",11%,232
$5 million-$10 million,Total amount of financing sought in prior 12 months,"$100,001-$250,000",16%,232
$5 million-$10 million,Total amount of financing sought in prior 12 months,"$250,001-$1M",42%,232
$5 million-$10 million,Total amount of financing sought in prior 12 months,More than $1M,21%,232
More than $10 million,Total amount of financing sought in prior 12 months,"$25,000 or less",5%,260
More than $10 million,Total amount of financing sought in prior 12 months,"$25,001-$50,000",4%,260
More than $10 million,Total amount of financing sought in prior 12 months,"$50,001-$100,000",8%,260
More than $10 million,Total amount of financing sought in prior 12 months,"$100,001-$250,000",11%,260
More than $10 million,Total amount of financing sought in prior 12 months,"$250,001-$1M",28%,260
More than $10 million,Total amount of financing sought in prior 12 months,More than $1M,45%,260
"$50,001-$100,000",Total amount of financing sought in prior 12 months,"$25,000 or less",39%,310
"$50,001-$100,000",Total amount of financing sought in prior 12 months,"$25,001-$50,000",22%,310
"$50,001-$100,000",Total amount of financing sought in prior 12 months,"$50,001-$100,000",18%,310
"$50,001-$100,000",Total amount of financing sought in prior 12 months,"$100,001-$250,000",12%,310
"$50,001-$100,000",Total amount of financing sought in prior 12 months,"$250,001-$1M",8%,310
"$50,001-$100,000",Total amount of financing sought in prior 12 months,More than $1M,0%,310
"$100,001-$250,000",Total amount of financing sought in prior 12 months,"$25,000 or less",32%,598
"$100,001-$250,000",Total amount of financing sought in prior 12 months,"$25,001-$50,000",26%,598
"$100,001-$250,000",Total amount of financing sought in prior 12 months,"$50,001-$100,000",20%,598
"$100,001-$250,000",Total amount of financing sought in prior 12 months,"$100,001-$250,000",12%,598
"$100,001-$250,000",Total amount of financing sought in prior 12 months,"$250,001-$1M",9%,598
"$100,001-$250,000",Total amount of financing sought in prior 12 months,More than $1M,2%,598
"$250,001-$500,000",Total amount of financing sought in prior 12 months,"$25,000 or less",25%,647
"$250,001-$500,000",Total amount of financing sought in prior 12 months,"$25,001-$50,000",22%,647
"$250,001-$500,000",Total amount of financing sought in prior 12 months,"$50,001-$100,000",22%,647
"$250,001-$500,000",Total amount of financing sought in prior 12 months,"$100,001-$250,000",19%,647
"$250,001-$500,000",Total amount of financing sought in prior 12 months,"$250,001-$1M",9%,647
"$250,001-$500,000",Total amount of financing sought in prior 12 months,More than $1M,3%,647
"$500,001-$1 million",Total amount of financing sought in prior 12 months,"$25,000 or less",19%,767
"$500,001-$1 million",Total amount of financing sought in prior 12 months,"$25,001-$50,000",18%,767
"$500,001-$1 million",Total amount of financing sought in prior 12 months,"$50,001-$100,000",26%,767
"$500,001-$1 million",Total amount of financing sought in prior 12 months,"$100,001-$250,000",19%,767
"$500,001-$1 million",Total amount of financing sought in prior 12 months,"$250,001-$1M",15%,767
"$500,001-$1 million",Total amount of financing sought in prior 12 months,More than $1M,3%,767
$1 million-$5 million,Total amount of financing sought in prior 12 months,"$25,000 or less",13%,1042
$1 million-$5 million,Total amount of financing sought in prior 12 months,"$25,001-$50,000",12%,1042
$1 million-$5 million,Total amount of financing sought in prior 12 months,"$50,001-$100,000",17%,1042
$1 million-$5 million,Total amount of financing sought in prior 12 months,"$100,001-$250,000",25%,1042
$1 million-$5 million,Total amount of financing sought in prior 12 months,"$250,001-$1M",24%,1042
$1 million-$5 million,Total amount of financing sought in prior 12 months,More than $1M,9%,1042
"$25,001-$50,000",Type of financing applied for,Credit card,36%,284
"$25,001-$50,000",Type of financing applied for,Loan,24%,284
"$25,001-$50,000",Type of financing applied for,Line of credit,18%,284
"$25,001-$50,000",Type of financing applied for,Lease,13%,284
"$25,001-$50,000",Type of financing applied for,Trade credit,7%,284
"$25,001-$50,000",Type of financing applied for,Merchant cash advance,6%,284
"$25,001-$50,000",Type of financing applied for,Factoring,2%,284
"$0-$25,000",Type of financing applied for,Credit card,40%,361
"$0-$25,000",Type of financing applied for,Loan,32%,361
"$0-$25,000",Type of financing applied for,Line of credit,20%,361
"$0-$25,000",Type of financing applied for,Lease,13%,361
"$0-$25,000",Type of financing applied for,Trade credit,11%,361
"$0-$25,000",Type of financing applied for,Factoring,3%,361
"$0-$25,000",Type of financing applied for,Merchant cash advance,3%,361
$5 million-$10 million,Type of financing applied for,Line of credit,29%,368
$5 million-$10 million,Type of financing applied for,Loan,26%,368
$5 million-$10 million,Type of financing applied for,Credit card,24%,368
$5 million-$10 million,Type of financing applied for,Trade credit,24%,368
$5 million-$10 million,Type of financing applied for,Lease,10%,368
$5 million-$10 million,Type of financing applied for,Merchant cash advance,6%,368
$5 million-$10 million,Type of financing applied for,Factoring,3%,368
More than $10 million,Type of financing applied for,Line of credit,33%,412
More than $10 million,Type of financing applied for,Loan,29%,412
More than $10 million,Type of financing applied for,Trade credit,24%,412
More than $10 million,Type of financing applied for,Credit card,22%,412
More than $10 million,Type of financing applied for,Lease,17%,412
More than $10 million,Type of financing applied for,Merchant cash advance,4%,412
More than $10 million,Type of financing applied for,Factoring,2%,412
"$50,001-$100,000",Type of financing applied for,Credit card,38%,539
"$50,001-$100,000",Type of financing applied for,Loan,26%,539
"$50,001-$100,000",Type of financing applied for,Line of credit,20%,539
"$50,001-$100,000",Type of financing applied for,Lease,12%,539
"$50,001-$100,000",Type of financing applied for,Trade credit,11%,539
"$50,001-$100,000",Type of financing applied for,Merchant cash advance,4%,539
"$50,001-$100,000",Type of financing applied for,Factoring,4%,539
"$100,001-$250,000",Type of financing applied for,Credit card,29%,1075
"$100,001-$250,000",Type of financing applied for,Loan,23%,1075
"$100,001-$250,000",Type of financing applied for,Line of credit,18%,1075
"$100,001-$250,000",Type of financing applied for,Merchant cash advance,11%,1075
"$100,001-$250,000",Type of financing applied for,Trade credit,10%,1075
"$100,001-$250,000",Type of financing applied for,Lease,8%,1075
"$100,001-$250,000",Type of financing applied for,Factoring,2%,1075
"$250,001-$500,000",Type of financing applied for,Credit card,28%,1249
"$250,001-$500,000",Type of financing applied for,Loan,23%,1249
"$250,001-$500,000",Type of financing applied for,Line of credit,19%,1249
"$250,001-$500,000",Type of financing applied for,Trade credit,11%,1249
"$250,001-$500,000",Type of financing applied for,Lease,7%,1249
"$250,001-$500,000",Type of financing applied for,Merchant cash advance,7%,1249
"$250,001-$500,000",Type of financing applied for,Factoring,2%,1249
"$500,001-$1 million",Type of financing applied for,Credit card,30%,1342
"$500,001-$1 million",Type of financing applied for,Line of credit,25%,1342
"$500,001-$1 million",Type of financing applied for,Loan,24%,1342
"$500,001-$1 million",Type of financing applied for,Trade credit,17%,1342
"$500,001-$1 million",Type of financing applied for,Merchant cash advance,7%,1342
"$500,001-$1 million",Type of financing applied for,Lease,7%,1342
"$500,001-$1 million",Type of financing applied for,Factoring,2%,1342
$1 million-$5 million,Type of financing applied for,Credit card,29%,1867
$1 million-$5 million,Type of financing applied for,Loan,25%,1867
$1 million-$5 million,Type of financing applied for,Line of credit,23%,1867
$1 million-$5 million,Type of financing applied for,Trade credit,18%,1867
$1 million-$5 million,Type of financing applied for,Lease,8%,1867
$1 million-$5 million,Type of financing applied for,Merchant cash advance,6%,1867
$1 million-$5 million,Type of financing applied for,Factoring,2%,1867
"$25,001-$50,000",Types of insurance coverage maintained by business,"Liability (e.g., general, professional, malpractice, product)",81%,210
"$25,001-$50,000",Types of insurance coverage maintained by business,Workers' compensation,57%,210
"$25,001-$50,000",Types of insurance coverage maintained by business,"Property (including building, machinery, etc.)",53%,210
"$25,001-$50,000",Types of insurance coverage maintained by business,Commercial auto/vehicle,38%,210
"$25,001-$50,000",Types of insurance coverage maintained by business,Cyber/data breach,17%,210
